"term","estimate___BMI","estimate___Waist","estimate___Glucose","estimate___Cholesterol","p_value___BMI","p_value___Waist","p_value___Glucose","p_value___Cholesterol","coef_label___BMI","coef_label___Waist","coef_label___Glucose","coef_label___Cholesterol","p_label___BMI","p_label___Waist","p_label___Glucose","p_label___Cholesterol"
"Fiber",-0.103835316242211,-0.262482035988252,-0.0130143116008197,-0.0495552572919162,0.00163457780935337,0.00377654893799757,0.157243900335625,0.658777082934324,"-0.1038**","-0.2625**","-0.01301","-0.04956","0.0016","0.0038","0.1572","0.6588"
"Sedentary time",0.00054741897517834,0.00160837738012644,3.47291177872911e-05,-0.000907071238841926,0.0143419707201546,0.00908165587696776,0.370208781536339,0.31038803085292,"0.0005474*","0.001608**","3.473e-05","-0.0009071","0.0143","0.0091","0.3702","0.3104"
"Activity",-0.000360007815295107,-0.00096628624975206,-0.000168812800654902,-0.00108082962746146,0.257664655875712,0.226552560929339,0.00871414502737552,0.0825946602679017,"-0.00036","-0.0009663","-0.0001688**","-0.001081.","0.2577","0.2266","0.0087","0.0826"
"Protein",0.00983590657597828,0.00729010007046493,0.00112454890422629,0.0306783090878918,0.0723500723940792,0.439814716076824,0.631953358824127,0.406429895917373,"0.009836.","0.00729","0.001125","0.03068","0.0724","0.4398","0.6320","0.4064"
"Sleep",-0.326061753412935,-0.7390516352937,-0.0330272035867202,-1.23578215407975,0.015423908546637,0.0486892100953167,0.277646242186588,0.0506512880885996,"-0.3261*","-0.7391*","-0.03303","-1.236.","0.0154","0.0487","0.2776","0.0507"
"Age",0.0179014559589875,0.189430975523546,0.0208156917174499,0.114740040832572,0.0833572871765567,0.000606760624706462,0.000226003351485497,0.0041107284703205,"0.0179.","0.1894***","0.02082***","0.1147**","0.0834","0.0006","0.0002","0.0041"
"Female",0.476138000117995,-5.60973848324929,-0.527760129240038,8.53537298016158,0.103255828669566,0.000338693353487341,0.00172537099448833,0.0104895719779573,"0.4761","-5.61***","-0.5278**","8.535*","0.1033","0.0003","0.0017","0.0105"
